"sous_groupe";"id_aliment";"nom";"calories_kcal_100g";"proteines_g_100g";"glucides_g_100g";"lipides_g_100g";"sucres_g_100g";"ag_satures_g_100g";"fibres_g_100g";"sel_g_100g";"sodium_mg_100g";"calcium_mg_100g";"fer_mg_100g";"magnesium_mg_100g";"potassium_mg_100g";"zinc_mg_100g";"vitamine_d_µg_100g";"vitamine_e_mg_100g";"vitamine_b1_mg_100g";"vitamine_b2_mg_100g";"vitamine_b3_mg_100g";"vitamine_b5_mg_100g";"vitamine_b12_µg_100g";"eau_g_100g"
"épices";"11056";"Quatre épices, poudre";"348";"6.09";"50.5";"8.69";"0";"2.55";"21.6";"0.19";"77";"661";"7.06";"135";"1040";"1.01";"0";"0";"0.1";"0.063";"2.86";"0";"0";"8.46"
"épices";"11057";"Vanille, gousse";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"sels";"11058";"Sel blanc alimentaire, iodé, non fluoré (marin, ignigène ou gemme)";"0";"0";"0";"0";"0";"0";"0";"97.8";"39100";"13.3";"0";"3.15";"16.9";"0";"0";"0";"0";"0";"0";"0";"0";"0.027"
"herbes";"11060";"Herbes de Provence, séchées";"283";"11.5";"23.1";"7.2";"0";"1.88";"40.1";"0.088";"35";"1860";"69.8";"304";"1970";"5.47";"0";"1.69";"0.33";"0.34";"6.03";"0";"0";"7.1"
"épices";"11061";"Pavot, graine";"534";"21.2";"13.7";"41.6";"2.99";"4.52";"10";"0.065";"26";"1440";"9.76";"347";"719";"7.9";"0";"0";"0.85";"0.1";"0.9";"0.32";"0";"5.95"
"herbes";"11062";"Sarriette, séchée";"264";"6.73";"23";"5.91";"0";"3.26";"45.7";"0.06";"24";"2130";"37.9";"377";"1050";"4.3";"0";"0";"0.37";"0";"4.08";"0";"0";"9"
"herbes";"11063";"Aneth, séché";"315";"20";"42.2";"4.36";"0";"0.23";"13.6";"0.52";"208";"1780";"48.8";"451";"3310";"3.3";"0";"0";"0.42";"0.28";"2.81";"0";"0";"7.3"
"épices";"11064";"Carvi, graine";"334";"19.8";"11.9";"14.6";"0.64";"0.62";"38";"0.043";"17";"689";"16.2";"258";"1350";"5.5";"0";"0";"0.38";"0.38";"3.61";"0";"0";"9.87"
"aides culinaires";"11065";"Vanille, extrait alcoolique";"240";"0.05";"2.41";"0";"0";"0";"0";"0.01";"4";"0";"0.13";"5";"98";"0.06";"0";"0";"0.008";"0.071";"0.32";"0.026";"0";"64.5"
"épices";"11066";"Fenouil, graine";"327";"15.8";"12.5";"14.9";"12.5";"0.48";"39.8";"0.22";"88";"1200";"18.5";"385";"1690";"3.7";"0";"2.72";"0.41";"0.35";"6.05";"0";"0";"8.81"
"herbes";"11068";"Romarin, frais";"121";"3.31";"6.6";"5.86";"0";"2.84";"14.1";"0.065";"26";"317";"6.65";"91";"668";"0.93";"0";"0";"0.036";"0.15";"0.91";"0.8";"0";"67.8"
"herbes";"11069";"Sauge, fraîche";"34.9";"4";"0.97";"0.5";"0.3";"0.01";"7";"0.028";"11.1";"230";"4.6";"54";"510";"0.28";"0.25";"0";"0.14";"0.09";"0.1";"0.68";"0";"85.6"
"herbes";"11070";"Thym, frais";"107";"5.56";"10.5";"1.68";"0";"0.47";"14";"0.023";"9";"405";"17.5";"160";"609";"1.81";"0";"1.7";"0.048";"0.47";"1.82";"0.41";"0";"65.1"
"sauces";"11073";"Ketchup allégé en sucres, préemballé";"68.6";"1.33";"13.8";"0.088";"10.8";"0.032";"1.43";"1.96";"1020";"0";"0";"0";"387";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"épices";"11074";"Gingembre, racine fraîche";"33.3";"1.1";"3.4";"1.1";"1";"0.09";"2.7";"0.016";"6.3";"11";"0.4";"26";"320";"0.24";"0.25";"0";"0.018";"0.01";"0.1";"0.13";"0";"90.9"
"épices";"11075";"Cardamome, poudre";"321";"10.8";"40.5";"6.7";"0";"0";"28";"0.045";"18";"383";"14";"229";"1120";"7.47";"0";"0";"0.2";"0.18";"1.1";"0";"0";"8.28"
"épices";"11077";"Fenugrec, graine";"350";"27.1";"33.8";"6.41";"8.7";"1.46";"24.6";"0.17";"67";"176";"33.5";"191";"770";"2.5";"0";"0";"0.32";"0.37";"1.64";"0";"0";"7.72"
"sauces";"11079";"Mayonnaise à teneur réduite en matière grasse ou mayonnaise allégée, préemballée";"297";"1.09";"8.82";"28.5";"4.44";"2.47";"0.31";"2.13";"936";"47.4";"0.4";"17.7";"70";"0.12";"0.5";"13.6";"0.04";"0.032";"0.08";"0.21";"0.14";"58.4"
